nombre_foto,peso_real_kg,peso_estimado_kg,limite_inferior_kg,limite_superior_kg,dentro_intervalo
BLF2537_0.jpg,420.00,387.44,302.17,472.70,True
BLF2537_1.jpg,420.00,453.35,368.08,538.61,True
BLF2537_3.jpg,420.00,402.72,317.45,487.99,True
lateral_62.png,586.00,481.61,396.34,566.87,False
BLF2570_0.jpg,258.00,267.45,182.18,352.72,True
BLF2570_1.jpg,258.00,374.84,289.57,460.10,False
BLF2570_3.jpg,258.00,273.82,188.56,359.09,True
lateral_43.png,601.00,567.90,482.63,653.16,True
BLF2613_0.jpg,280.00,264.27,179.01,349.54,True
BLF2613_1.jpg,280.00,256.10,170.83,341.36,True
BLF2613_3.jpg,280.00,251.90,166.63,337.16,True
BLF2541_0.jpg,466.00,405.92,320.66,491.19,True
BLF2541_1.jpg,466.00,349.14,263.88,434.41,False
BLF2541_3.jpg,466.00,416.94,331.68,502.21,True
BLF2657_0.jpg,152.00,231.96,146.70,317.23,True
BLF2657_1.jpg,152.00,206.74,121.47,292.01,True
BLF2657_3.jpg,152.00,170.29,85.03,255.56,True
BLF2186_0.jpg,245.00,225.02,139.75,310.28,True
BLF2186_1.jpg,245.00,207.85,122.58,293.11,True
BLF2186_3.jpg,245.00,220.68,135.41,305.94,True
BLF2131_0.jpg,212.00,239.86,154.59,325.12,True
BLF2131_1.jpg,212.00,218.37,133.11,303.64,True
BLF2131_3.jpg,212.00,198.79,113.52,284.05,True
BLF2583_0.jpg,219.00,219.95,134.68,305.21,True
BLF2583_1.jpg,219.00,203.83,118.56,289.09,True
BLF2583_3.jpg,219.00,184.98,99.72,270.25,True
BLF2192_0.jpg,244.00,321.34,236.08,406.61,True
BLF2192_1.jpg,244.00,222.78,137.52,308.05,True
BLF2192_3.jpg,244.00,221.23,135.96,306.49,True
BLF2544_0.jpg,378.00,365.60,280.34,450.87,True
BLF2544_1.jpg,378.00,409.50,324.24,494.77,True
BLF2544_3.jpg,378.00,359.75,274.49,445.02,True
BLF2617_0.jpg,300.00,276.73,191.47,362.00,True
BLF2617_1.jpg,300.00,314.57,229.30,399.83,True
BLF2617_3.jpg,300.00,287.48,202.22,372.75,True
BLF2087_0.jpg,287.00,250.54,165.27,335.81,True
BLF2087_1.jpg,287.00,296.11,210.85,381.38,True
BLF2087_3.jpg,287.00,259.55,174.28,344.82,True
BLF2609_0.jpg,286.00,263.63,178.37,348.90,True
BLF2609_1.jpg,286.00,268.01,182.75,353.28,True
BLF2609_3.jpg,286.00,240.58,155.32,325.85,True
BLF2091_0.jpg,273.00,323.40,238.13,408.66,True
BLF2091_1.jpg,273.00,241.30,156.03,326.56,True
BLF2091_3.jpg,273.00,244.25,158.98,329.51,True
BLF2239_0.jpg,245.00,245.09,159.82,330.35,True
BLF2239_1.jpg,245.00,265.98,180.72,351.25,True
BLF2239_3.jpg,245.00,238.98,153.71,324.24,True
BLF2229_0.jpg,246.00,277.26,191.99,362.52,True
BLF2229_1.jpg,246.00,228.99,143.73,314.26,True
BLF2229_3.jpg,246.00,264.05,178.78,349.31,True
BLF2314_0.jpg,260.00,207.87,122.60,293.13,True
BLF2314_1.jpg,260.00,220.68,135.41,305.94,True
BLF2314_3.jpg,260.00,282.83,197.56,368.09,True
BLF2074_0.jpg,210.00,210.41,125.14,295.67,True
BLF2074_1.jpg,210.00,239.18,153.91,324.44,True
BLF2074_3.jpg,210.00,194.77,109.50,280.03,True
BLF2290_0.jpg,186.00,206.00,120.73,291.27,True
BLF2290_1.jpg,186.00,225.63,140.37,310.90,True
BLF2290_3.jpg,186.00,201.61,116.35,286.88,True
BLF2577_0.jpg,283.00,290.98,205.72,376.25,True
BLF2577_1.jpg,283.00,277.40,192.14,362.67,True
BLF2577_3.jpg,283.00,254.11,168.84,339.38,True
BLF2095_0.jpg,252.00,229.46,144.20,314.73,True
BLF2095_1.jpg,252.00,198.06,112.79,283.33,True
BLF2095_3.jpg,252.00,249.22,163.96,334.49,True
BLF2139_0.jpg,234.00,238.78,153.51,324.05,True
BLF2139_1.jpg,234.00,221.56,136.29,306.82,True
BLF2139_3.jpg,234.00,243.53,158.26,328.80,True
BLF2181_0.jpg,245.00,252.11,166.84,337.37,True
BLF2181_1.jpg,245.00,236.87,151.61,322.14,True
BLF2181_3.jpg,245.00,243.21,157.95,328.48,True
