nombre_foto,peso_kg
BLF2047_0.jpg,315.0
BLF2047_1.jpg,315.0
BLF2047_3.jpg,315.0
video_BLF2047_3.jpg,315.0
video_BLF2047_7.jpg,315.0
BLF2566_0.jpg,188.0
BLF2566_1.jpg,188.0
BLF2566_3.jpg,188.0
video_BLF2566_3.jpg,188.0
video_BLF2566_7.jpg,188.0
BLF2671_0.jpg,219.0
BLF2671_1.jpg,219.0
BLF2671_3.jpg,219.0
video_BLF2671_3.jpg,219.0
video_BLF2671_7.jpg,219.0
BLF2202_0.jpg,209.0
BLF2202_1.jpg,209.0
BLF2202_3.jpg,209.0
video_BLF2202_3.jpg,209.0
video_BLF2202_7.jpg,209.0
BLF2111_0.jpg,291.0
BLF2111_1.jpg,291.0
BLF2111_3.jpg,291.0
video_BLF2111_3.jpg,291.0
video_BLF2111_7.jpg,291.0
BLF2294_0.jpg,154.0
BLF2294_1.jpg,154.0
BLF2294_3.jpg,154.0
video_BLF2294_3.jpg,154.0
video_BLF2294_7.jpg,154.0
BLF2325_0.jpg,230.0
BLF2325_1.jpg,230.0
BLF2325_3.jpg,230.0
video_BLF2325_3.jpg,230.0
video_BLF2325_7.jpg,230.0
BLF2257_0.jpg,238.0
BLF2257_1.jpg,238.0
BLF2257_3.jpg,238.0
video_BLF2257_3.jpg,238.0
video_BLF2257_7.jpg,238.0
BLF2586_0.jpg,280.0
BLF2586_1.jpg,280.0
BLF2586_3.jpg,280.0
video_BLF2586_3.jpg,280.0
video_BLF2586_7.jpg,280.0
BLF2279_0.jpg,231.0
BLF2279_1.jpg,231.0
BLF2279_3.jpg,231.0
video_BLF2279_3.jpg,231.0
video_BLF2279_7.jpg,231.0
lateral_45.png,341.0
BLF2226_0.jpg,261.0
BLF2226_1.jpg,261.0
BLF2226_3.jpg,261.0
video_BLF2226_3.jpg,261.0
video_BLF2226_7.jpg,261.0
lateral_51.png,450.0
BLF2067_0.jpg,227.0
BLF2067_1.jpg,227.0
BLF2067_3.jpg,227.0
video_BLF2067_3.jpg,227.0
video_BLF2067_7.jpg,227.0
lateral_54.png,444.0
BLF2231_0.jpg,261.0
BLF2231_1.jpg,261.0
BLF2231_3.jpg,261.0
video_BLF2231_3.jpg,261.0
video_BLF2231_7.jpg,261.0
BLF2633_0.jpg,217.0
BLF2633_1.jpg,217.0
BLF2633_3.jpg,217.0
video_BLF2633_3.jpg,217.0
video_BLF2633_7.jpg,217.0
BLF2558_0.jpg,272.0
BLF2558_1.jpg,272.0
BLF2558_3.jpg,272.0
video_BLF2558_3.jpg,272.0
video_BLF2558_7.jpg,272.0
lateral_26.png,467.0
BLF2086_0.jpg,223.0
BLF2086_1.jpg,223.0
BLF2086_3.jpg,223.0
video_BLF2086_3.jpg,223.0
video_BLF2086_7.jpg,223.0
BLF2027_0.jpg,265.0
BLF2027_1.jpg,265.0
BLF2027_3.jpg,265.0
video_BLF2027_3.jpg,265.0
video_BLF2027_7.jpg,265.0
BLF2522_0.jpg,487.0
BLF2522_1.jpg,487.0
BLF2522_3.jpg,487.0
video_BLF2522_3.jpg,487.0
video_BLF2522_7.jpg,487.0
BLF2636_0.jpg,213.0
BLF2636_1.jpg,213.0
BLF2636_3.jpg,213.0
video_BLF2636_3.jpg,213.0
video_BLF2636_7.jpg,213.0
BLF2238_0.jpg,189.0
BLF2238_1.jpg,189.0
BLF2238_3.jpg,189.0
video_BLF2238_3.jpg,189.0
video_BLF2238_7.jpg,189.0
BLF2112_0.jpg,270.0
BLF2112_1.jpg,270.0
BLF2112_3.jpg,270.0
video_BLF2112_3.jpg,270.0
video_BLF2112_7.jpg,270.0
BLF2200_0.jpg,217.0
BLF2200_1.jpg,217.0
BLF2200_3.jpg,217.0
video_BLF2200_3.jpg,217.0
video_BLF2200_7.jpg,217.0
BLF2207_0.jpg,261.0
BLF2207_1.jpg,261.0
BLF2207_3.jpg,261.0
video_BLF2207_3.jpg,261.0
video_BLF2207_7.jpg,261.0
BLF2196_0.jpg,248.0
BLF2196_1.jpg,248.0
BLF2196_3.jpg,248.0
video_BLF2196_3.jpg,248.0
video_BLF2196_7.jpg,248.0
BLF2620_0.jpg,206.0
BLF2620_1.jpg,206.0
BLF2620_3.jpg,206.0
video_BLF2620_3.jpg,206.0
video_BLF2620_7.jpg,206.0
BLF2332_0.jpg,150.0
BLF2332_1.jpg,150.0
BLF2332_3.jpg,150.0
video_BLF2332_3.jpg,150.0
video_BLF2332_7.jpg,150.0
BLF2133_0.jpg,230.0
BLF2133_1.jpg,230.0
BLF2133_3.jpg,230.0
video_BLF2133_3.jpg,230.0
video_BLF2133_7.jpg,230.0
BLF2215_0.jpg,275.0
BLF2215_1.jpg,275.0
BLF2215_3.jpg,275.0
video_BLF2215_3.jpg,275.0
video_BLF2215_7.jpg,275.0
BLF2195_0.jpg,216.0
BLF2195_1.jpg,216.0
BLF2195_3.jpg,216.0
video_BLF2195_3.jpg,216.0
video_BLF2195_7.jpg,216.0
BLF2197_0.jpg,227.0
BLF2197_1.jpg,227.0
BLF2197_3.jpg,227.0
video_BLF2197_3.jpg,227.0
video_BLF2197_7.jpg,227.0
lateral_36.png,400.0
BLF2104_0.jpg,181.0
BLF2104_1.jpg,181.0
BLF2104_3.jpg,181.0
video_BLF2104_3.jpg,181.0
video_BLF2104_7.jpg,181.0
BLF2327_0.jpg,224.0
BLF2327_1.jpg,224.0
BLF2327_3.jpg,224.0
video_BLF2327_3.jpg,224.0
video_BLF2327_7.jpg,224.0
BLF2280_0.jpg,183.0
BLF2280_1.jpg,183.0
BLF2280_3.jpg,183.0
video_BLF2280_3.jpg,183.0
video_BLF2280_7.jpg,183.0
BLF2110_0.jpg,315.0
BLF2110_1.jpg,315.0
BLF2110_3.jpg,315.0
video_BLF2110_3.jpg,315.0
video_BLF2110_7.jpg,315.0
BLF2158_0.jpg,172.0
BLF2158_1.jpg,172.0
BLF2158_3.jpg,172.0
video_BLF2158_3.jpg,172.0
video_BLF2158_7.jpg,172.0
BLF2060_0.jpg,220.0
BLF2060_1.jpg,220.0
BLF2060_3.jpg,220.0
video_BLF2060_3.jpg,220.0
video_BLF2060_7.jpg,220.0
BLF2554_0.jpg,254.0
BLF2554_1.jpg,254.0
BLF2554_3.jpg,254.0
video_BLF2554_3.jpg,254.0
video_BLF2554_7.jpg,254.0
BLF2160_0.jpg,249.0
BLF2160_1.jpg,249.0
BLF2160_3.jpg,249.0
video_BLF2160_3.jpg,249.0
video_BLF2160_7.jpg,249.0
BLF2043_0.jpg,282.0
BLF2043_1.jpg,282.0
BLF2043_3.jpg,282.0
video_BLF2043_3.jpg,282.0
video_BLF2043_7.jpg,282.0
BLF2225_0.jpg,244.0
BLF2225_1.jpg,244.0
